,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
243,59.88325,RED,60.1756943664,59.354,60.1756943664,59.999,1514548560,2017-12-29 11:56:00
244,60.171,GREEN,60.668,59.801,60.0294721832,60.214,1514550360,2017-12-29 12:26:00
245,61.94975,GREEN,62.798,60.0,60.1002360916,62.403,1514552160,2017-12-29 12:56:00
246,62.472,GREEN,62.8,61.0249930458,61.0249930458,62.787,1514553960,2017-12-29 13:26:00
247,62.436,GREEN,62.787,61.7484965229,61.7484965229,62.5,1514555760,2017-12-29 13:56:00
248,62.21775,GREEN,62.657,62.014,62.0922482614,62.1,1514557560,2017-12-29 14:26:00
249,62.425,GREEN,62.5,62.0,62.1549991307,62.4,1514559360,2017-12-29 14:56:00
250,63.92825,GREEN,64.3,62.2899995654,62.2899995654,64.699,1514561160,2017-12-29 15:26:00
251,64.10675,GREEN,64.7,63.1091247827,63.1091247827,64.0,1514562960,2017-12-29 15:56:00
252,64.126,GREEN,64.5,63.6079373913,63.6079373913,64.001,1514564760,2017-12-29 16:26:00
253,65.175,GREEN,65.9,63.8669686957,63.8669686957,65.5,1514566560,2017-12-29 16:56:00
254,65.275,GREEN,65.9,64.5209843478,64.5209843478,65.0,1514568360,2017-12-29 17:26:00
255,64.2225,RED,65.2,63.9,64.8979921739,63.895,1514570160,2017-12-29 17:56:00
256,61.376,RED,64.560246087,59.49,64.560246087,61.058,1514571960,2017-12-29 18:26:00
257,61.08775,RED,62.9681230435,60.289,62.9681230435,61.121,1514573760,2017-12-29 18:56:00
258,61.773,RED,62.0279365217,61.121,62.0279365217,61.981,1514575560,2017-12-29 19:26:00
259,61.86675,RED,61.989,61.5,61.9004682609,61.989,1514577360,2017-12-29 19:56:00
260,61.8875,GREEN,62.212,61.552,61.8836091304,61.586,1514579160,2017-12-29 20:26:00
261,61.59775,RED,62.691,61.3,61.8855545652,61.0,1514580960,2017-12-29 20:56:00
262,61.251,RED,62.0,61.0,61.7416522826,61.002,1514582760,2017-12-29 21:26:00
263,61.996,GREEN,63.3,61.002,61.4963261413,61.841,1514584560,2017-12-29 21:56:00
264,62.00625,GREEN,62.747,61.3,61.7461630707,61.989,1514586360,2017-12-29 22:26:00
265,62.198,GREEN,62.491,61.353,61.8762065353,62.474,1514588160,2017-12-29 22:56:00
266,63.18825,GREEN,63.799,61.68,62.0371032677,63.674,1514589960,2017-12-29 23:26:00
267,63.82475,GREEN,64.4,62.6126766338,62.6126766338,64.399,1514591760,2017-12-29 23:56:00
268,63.42725,GREEN,65.899,62.606,63.2187133169,62.602,1514593560,2017-12-30 00:26:00
269,61.3675,RED,63.3229816585,60.5,63.3229816585,61.666,1514595360,2017-12-30 00:56:00
270,61.1415,RED,62.3452408292,60.5,62.3452408292,61.2,1514597160,2017-12-30 01:26:00
271,60.40875,RED,61.7433704146,60.0,61.7433704146,60.0,1514598960,2017-12-30 01:56:00
272,59.7575,RED,61.0760602073,59.0,61.0760602073,60.359,1514600760,2017-12-30 02:26:00
