[Trader][2018-01-24 11:27:14,209][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:27:14,210][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:27:14,211][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:37:14.211314
[Trader][2018-01-24 11:27:14,617][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:17:00
[Trader][2018-01-24 11:27:14,682][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:27:14,683][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:27:14,683][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:37:14.683600
[Trader][2018-01-24 11:27:16,022][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 11:27:16,024][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 11:27:16,025][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:37:16.025197
[Trader][2018-01-24 11:37:13,130][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:27:00
[Trader][2018-01-24 11:37:14,231][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:27:00
[Trader][2018-01-24 11:37:14,704][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 11:27:00
